"session_date","session_month","session_week","session_count","week_txn_counts"
"2024-12-28","12","52","271","361167677"
"2024-12-28","12","52","27","361167677"
"2024-12-28","12","52","73","361167677"
"2024-12-28","12","52","6","361167677"
"2024-12-28","12","52","32","361167677"
"2024-12-28","12","52","4","361167677"
"2024-12-28","12","52","9","361167677"
"2024-12-28","12","52","56","361167677"
"2024-12-28","12","52","44","361167677"
"2024-12-28","12","52","36","361167677"
"2024-12-28","12","52","58","361167677"
"2024-12-28","12","52","55","361167677"
"2024-12-28","12","52","41","361167677"
"2024-12-28","12","52","92","361167677"
"2024-12-28","12","52","35","361167677"
"2024-12-28","12","52","482","361167677"
"2024-12-28","12","52","39","361167677"
"2024-12-28","12","52","63","361167677"
"2024-12-28","12","52","20","361167677"
"2024-12-28","12","52","64","361167677"
"2024-12-28","12","52","13","361167677"
"2024-12-28","12","52","26","361167677"
"2024-12-28","12","52","28","361167677"
"2024-12-28","12","52","17","361167677"
"2024-12-28","12","52","37","361167677"
"2024-12-28","12","52","66","361167677"
"2024-12-28","12","52","164","361167677"
"2024-12-28","12","52","48","361167677"
"2024-12-28","12","52","65","361167677"
"2024-12-28","12","52","18","361167677"
"2024-12-28","12","52","24","361167677"
"2024-12-27","12","52","32","361167677"
"2024-12-27","12","52","13","361167677"
"2024-12-27","12","52","222","361167677"
"2024-12-27","12","52","19","361167677"
"2024-12-27","12","52","50","361167677"
"2024-12-27","12","52","28","361167677"
"2024-12-27","12","52","66","361167677"
"2024-12-27","12","52","12","361167677"
"2024-12-27","12","52","60","361167677"
"2024-12-27","12","52","93","361167677"
"2024-12-27","12","52","8","361167677"
"2024-12-27","12","52","350","361167677"
"2024-12-27","12","52","453","361167677"
"2024-12-27","12","52","293","361167677"
"2024-12-27","12","52","4","361167677"
"2024-12-27","12","52","43","361167677"
"2024-12-27","12","52","74","361167677"
"2024-12-27","12","52","40","361167677"
"2024-12-27","12","52","134","361167677"
"2024-12-27","12","52","255","361167677"
"2024-12-27","12","52","10","361167677"
"2024-12-27","12","52","307","361167677"
"2024-12-27","12","52","16","361167677"
"2024-12-27","12","52","33","361167677"
"2024-12-27","12","52","62","361167677"
"2024-12-27","12","52","140","361167677"
"2024-12-27","12","52","92","361167677"
"2024-12-27","12","52","72","361167677"
"2024-12-27","12","52","161","361167677"
"2024-12-27","12","52","149","361167677"
"2024-12-27","12","52","59","361167677"
"2024-12-27","12","52","42","361167677"
"2024-12-27","12","52","63","361167677"
"2024-12-27","12","52","507","361167677"
"2024-12-27","12","52","226","361167677"
"2024-12-27","12","52","44","361167677"
"2024-12-27","12","52","20","361167677"
"2024-12-27","12","52","68","361167677"
"2024-12-27","12","52","54","361167677"
"2024-12-27","12","52","214","361167677"
"2024-12-27","12","52","27","361167677"
"2024-12-27","12","52","31","361167677"
"2024-12-27","12","52","57","361167677"
"2024-12-27","12","52","18","361167677"
"2024-12-27","12","52","11","361167677"
"2024-12-27","12","52","69","361167677"
"2024-12-27","12","52","7","361167677"
"2024-12-27","12","52","41","361167677"
"2024-12-27","12","52","37","361167677"
"2024-12-27","12","52","5","361167677"
"2024-12-27","12","52","38","361167677"
"2024-12-27","12","52","6","361167677"
"2024-12-27","12","52","3","361167677"
"2024-12-27","12","52","34","361167677"
"2024-12-27","12","52","81","361167677"
"2024-12-27","12","52","80","361167677"
"2024-12-27","12","52","47","361167677"
"2024-12-27","12","52","2","361167677"
"2024-12-27","12","52","65","361167677"
"2024-12-27","12","52","36","361167677"
"2024-12-27","12","52","24","361167677"
"2024-12-27","12","52","215","361167677"
"2024-12-27","12","52","70","361167677"
"2024-12-27","12","52","15","361167677"
"2024-12-27","12","52","49","361167677"
"2024-12-27","12","52","79","361167677"
"2024-12-27","12","52","1","361167677"
"2024-12-27","12","52","39","361167677"
"2024-12-27","12","52","108","361167677"
"2024-12-27","12","52","186","361167677"
"2024-12-27","12","52","84","361167677"
"2024-12-27","12","52","46","361167677"
"2024-12-27","12","52","97","361167677"
"2024-12-27","12","52","52","361167677"
"2024-12-27","12","52","30","361167677"
"2024-12-27","12","52","45","361167677"
"2024-12-27","12","52","53","361167677"
"2024-12-27","12","52","73","361167677"
"2024-12-27","12","52","150","361167677"
"2024-12-27","12","52","117","361167677"
"2024-12-27","12","52","119","361167677"
"2024-12-27","12","52","333","361167677"
"2024-12-27","12","52","25","361167677"
"2024-12-27","12","52","86","361167677"
"2024-12-27","12","52","17","361167677"
"2024-12-27","12","52","29","361167677"
"2024-12-27","12","52","51","361167677"
"2024-12-27","12","52","104","361167677"
"2024-12-27","12","52","71","361167677"
"2024-12-27","12","52","58","361167677"
"2024-12-27","12","52","437","361167677"
"2024-12-27","12","52","61","361167677"
"2024-12-27","12","52","56","361167677"
"2024-12-27","12","52","110","361167677"
"2024-12-27","12","52","26","361167677"
"2024-12-27","12","52","14","361167677"
"2024-12-27","12","52","76","361167677"
"2024-12-27","12","52","22","361167677"
"2024-12-27","12","52","9","361167677"
"2024-12-27","12","52","170","361167677"
"2024-12-27","12","52","23","361167677"
"2024-12-27","12","52","423","361167677"
"2024-12-27","12","52","21","361167677"
"2024-12-27","12","52","139","361167677"
"2024-12-27","12","52","35","361167677"
"2024-12-26","12","52","14","361167677"
"2024-12-26","12","52","24","361167677"
"2024-12-26","12","52","20","361167677"
"2024-12-26","12","52","94","361167677"
"2024-12-26","12","52","46","361167677"
"2024-12-26","12","52","131","361167677"
"2024-12-26","12","52","40","361167677"
"2024-12-26","12","52","120","361167677"
"2024-12-26","12","52","67","361167677"
"2024-12-26","12","52","3","361167677"
"2024-12-26","12","52","41","361167677"
"2024-12-26","12","52","39","361167677"
"2024-12-26","12","52","25","361167677"
"2024-12-26","12","52","9","361167677"
"2024-12-26","12","52","30","361167677"
"2024-12-26","12","52","5","361167677"
"2024-12-26","12","52","70","361167677"
"2024-12-26","12","52","63","361167677"
"2024-12-26","12","52","107","361167677"
"2024-12-26","12","52","64","361167677"
"2024-12-26","12","52","74","361167677"
"2024-12-26","12","52","73","361167677"
"2024-12-26","12","52","38","361167677"
"2024-12-26","12","52","54","361167677"
"2024-12-26","12","52","36","361167677"
"2024-12-26","12","52","28","361167677"
"2024-12-26","12","52","1","361167677"
"2024-12-26","12","52","27","361167677"
"2024-12-26","12","52","21","361167677"
"2024-12-26","12","52","18","361167677"
"2024-12-26","12","52","60","361167677"
"2024-12-26","12","52","22","361167677"
"2024-12-26","12","52","17","361167677"
"2024-12-26","12","52","80","361167677"
"2024-12-26","12","52","276","361167677"
"2024-12-26","12","52","122","361167677"
"2024-12-26","12","52","12","361167677"
"2024-12-26","12","52","43","361167677"
"2024-12-26","12","52","190","361167677"
"2024-12-26","12","52","82","361167677"
"2024-12-26","12","52","58","361167677"
"2024-12-26","12","52","292","361167677"
"2024-12-26","12","52","23","361167677"
"2024-12-26","12","52","81","361167677"
"2024-12-26","12","52","61","361167677"
"2024-12-26","12","52","47","361167677"
"2024-12-26","12","52","26","361167677"
"2024-12-26","12","52","44","361167677"
"2024-12-26","12","52","10","361167677"
"2024-12-26","12","52","16","361167677"
"2024-12-26","12","52","88","361167677"
"2024-12-26","12","52","68","361167677"
"2024-12-26","12","52","72","361167677"
"2024-12-26","12","52","53","361167677"
"2024-12-26","12","52","225","361167677"
"2024-12-26","12","52","56","361167677"
"2024-12-26","12","52","77","361167677"
"2024-12-26","12","52","33","361167677"
"2024-12-26","12","52","37","361167677"
"2024-12-26","12","52","87","361167677"
"2024-12-26","12","52","19","361167677"
"2024-12-26","12","52","57","361167677"
"2024-12-26","12","52","89","361167677"
"2024-12-26","12","52","163","361167677"
"2024-12-26","12","52","6","361167677"
"2024-12-26","12","52","29","361167677"
"2024-12-26","12","52","302","361167677"
"2024-12-26","12","52","59","361167677"
"2024-12-26","12","52","48","361167677"
"2024-12-26","12","52","2","361167677"
"2024-12-26","12","52","374","361167677"
"2024-12-26","12","52","144","361167677"
"2024-12-26","12","52","253","361167677"
"2024-12-26","12","52","4","361167677"
"2024-12-26","12","52","11","361167677"
"2024-12-26","12","52","206","361167677"
"2024-12-26","12","52","49","361167677"
"2024-12-26","12","52","13","361167677"
"2024-12-26","12","52","7","361167677"
"2024-12-26","12","52","179","361167677"
"2024-12-26","12","52","102","361167677"
"2024-12-26","12","52","303","361167677"
"2024-12-26","12","52","35","361167677"
"2024-12-26","12","52","8","361167677"
"2024-12-26","12","52","52","361167677"
"2024-12-26","12","52","79","361167677"
"2024-12-26","12","52","50","361167677"
"2024-12-26","12","52","156","361167677"
"2024-12-26","12","52","78","361167677"
"2024-12-26","12","52","375","361167677"
"2024-12-26","12","52","42","361167677"
"2024-12-26","12","52","45","361167677"
"2024-12-26","12","52","15","361167677"
"2024-12-26","12","52","32","361167677"
"2024-12-26","12","52","197","361167677"
"2024-12-26","12","52","69","361167677"
"2024-12-26","12","52","34","361167677"
"2024-12-26","12","52","113","361167677"
"2024-12-26","12","52","372","361167677"
"2024-12-26","12","52","31","361167677"
"2024-12-25","12","52","117","361167677"
"2024-12-25","12","52","174","361167677"
"2024-12-25","12","52","24","361167677"
"2024-12-25","12","52","19","361167677"
"2024-12-25","12","52","1","361167677"
"2024-12-25","12","52","60","361167677"
"2024-12-25","12","52","47","361167677"
"2024-12-25","12","52","36","361167677"
"2024-12-25","12","52","161","361167677"
"2024-12-25","12","52","33","361167677"
"2024-12-25","12","52","209","361167677"
"2024-12-25","12","52","116","361167677"
"2024-12-25","12","52","46","361167677"
"2024-12-25","12","52","55","361167677"
"2024-12-25","12","52","52","361167677"
"2024-12-25","12","52","13","361167677"
"2024-12-25","12","52","20","361167677"
"2024-12-25","12","52","26","361167677"
